#,Transact. No.,Symbol,Buyer,Seller,Quantity,Rate,Amount
1,2025012205023754,BBC,14,72,10,"5,832.00","58,320.00"
2,2025012205024019,CHDC,96,82,492,"1,851.00","910,692.00"
3,2025012205024018,CHDC,96,90,20,"1,850.00","37,000.00"
4,2025012205024017,CHDC,96,41,46,"1,850.00","85,100.00"
5,2025012205024016,CHDC,96,14,70,"1,850.00","129,500.00"
6,2025012205024015,CHDC,96,22,50,"1,849.90","92,495.00"
7,2025012205024014,CHDC,96,34,90,"1,849.00","166,410.00"
8,2025012205023680,CHDC,39,4,100,"1,846.00","184,600.00"
9,2025012205023679,CHDC,39,4,100,"1,846.10","184,610.00"
10,2025012205023577,CHDC,39,28,99,"1,849.00","183,051.00"
11,2025012205023775,CHDC,39,71,100,"1,848.00","184,800.00"
12,2025012205023687,CHDC,39,50,470,"1,848.00","868,560.00"
13,2025012205023684,CHDC,59,4,189,"1,845.00","348,705.00"
14,2025012205023683,CHDC,59,4,100,"1,845.00","184,500.00"
15,2025012205023682,CHDC,96,4,96,"1,845.00","177,120.00"
16,2025012205023681,CHDC,39,4,200,"1,845.10","369,020.00"
17,2025012205024013,CHDC,96,69,12,"1,848.00","22,176.00"
18,2025012205024012,CHDC,96,14,220,"1,848.00","406,560.00"
19,2025012205023956,CHDC,39,14,180,"1,848.00","332,640.00"
20,2025012205023947,CHDC,36,34,10,"1,849.00","18,490.00"
21,2025012205023923,CHDC,39,86,120,"1,848.00","221,760.00"
22,2025012205023885,CHDC,39,14,100,"1,848.00","184,800.00"
23,2025012205023914,CIT,61,57,10,"2,009.00","20,090.00"
24,2025012205023580,CIT,61,71,22,"2,008.00","44,176.00"
25,2025012205024062,CLI,95,39,10,710.50,"7,105.00"
26,2025012205023951,CLI,18,67,10,710.50,"7,105.00"
27,2025012205023946,CLI,66,45,10,710.00,"7,100.00"
28,2025012205023918,CLI,66,28,10,710.00,"7,100.00"
29,2025012205023917,CLI,66,42,41,710.00,"29,110.00"
30,2025012205023916,CLI,66,45,10,710.00,"7,100.00"
31,2025012205023596,CLI,18,17,25,710.00,"17,750.00"
32,2025012205023595,CLI,18,43,15,709.90,"10,648.50"
33,2025012205023594,CLI,18,48,10,708.90,"7,089.00"
34,2025012205023591,CLI,32,21,10,708.00,"7,080.00"
35,2025012205023915,CLI,66,7,80,710.00,"56,800.00"
36,2025012205023800,CLI,18,7,10,710.00,"7,100.00"
37,2025012205023708,CLI,18,7,10,710.00,"7,100.00"
38,2025012205023648,CLI,18,17,10,710.00,"7,100.00"
39,2025012205023624,CLI,32,58,10,708.00,"7,080.00"
40,2025012205023609,CLI,32,45,10,708.00,"7,080.00"
41,2025012205023886,ENL,58,60,10,"1,221.00","12,210.00"
42,2025012205024011,GCIL,22,45,100,509.10,"50,910.00"
43,2025012205023961,GCIL,56,77,11,511.00,"5,621.00"
44,2025012205023960,GCIL,56,49,40,510.00,"20,400.00"
45,2025012205023688,GCIL,45,57,20,509.30,"10,186.00"
46,2025012205023604,GCIL,45,29,23,509.40,"11,716.20"
47,2025012205023761,GCIL,56,21,11,509.30,"5,602.30"
48,2025012205023689,GCIL,56,57,280,509.30,"142,604.00"
49,2025012205023818,GCIL,22,45,"1,000",509.10,"509,100.00"
50,2025012205023806,GCIL,56,38,200,509.30,"101,860.00"
51,2025012205023959,GCIL,56,58,23,510.00,"11,730.00"
52,2025012205023958,GCIL,56,39,61,510.00,"31,110.00"
53,2025012205023957,GCIL,56,37,11,509.90,"5,608.90"
54,2025012205023954,HATHY,49,58,120,"1,403.20","168,384.00"
55,2025012205023911,HATHY,38,44,15,"1,406.00","21,090.00"
56,2025012205023817,HATHY,49,45,50,"1,403.20","70,160.00"
57,2025012205023816,HATHY,49,45,50,"1,403.30","70,165.00"
58,2025012205023815,HATHY,56,45,100,"1,405.00","140,500.00"
59,2025012205023696,HATHY,55,35,12,"1,406.00","16,872.00"
60,2025012205023678,HATHY,55,5,24,"1,406.00","33,744.00"
61,2025012205023676,HATHY,55,39,50,"1,406.00","70,300.00"
62,2025012205023615,HATHY,55,58,10,"1,406.00","14,060.00"
63,2025012205023613,HATHY,14,4,145,"1,404.00","203,580.00"
64,2025012205023601,HATHY,14,57,76,"1,404.00","106,704.00"
65,2025012205023762,HDL,56,45,10,"1,181.90","11,819.00"
66,2025012205023905,HDL,1,18,15,"1,181.00","17,715.00"
67,2025012205023894,HDL,1,48,35,"1,181.00","41,335.00"
68,2025012205023893,HDL,58,48,65,"1,181.00","76,765.00"
69,2025012205023807,HDL,34,45,24,"1,181.10","28,346.40"
70,2025012205023908,HDL,42,18,25,"1,181.00","29,525.00"
71,2025012205023907,HDL,34,18,20,"1,181.00","23,620.00"
72,2025012205023906,HDL,49,18,40,"1,181.00","47,240.00"
73,2025012205023903,HIDCL,49,18,100,257.00,"25,700.00"
74,2025012205023891,HIDCL,26,18,120,257.00,"30,840.00"
75,2025012205023890,HIDCL,81,18,480,257.00,"123,360.00"
76,2025012205023707,HIDCL,81,40,20,257.00,"5,140.00"
77,2025012205023706,HIDCL,26,40,100,257.00,"25,700.00"
78,2025012205023705,HIDCL,67,40,380,257.00,"97,660.00"
79,2025012205023573,HIDCL,67,34,85,257.00,"21,845.00"
80,2025012205023629,HIDCL,67,42,226,257.00,"58,082.00"
81,2025012205023619,HIDCL,22,45,10,257.10,"2,571.00"
82,2025012205023616,HIDCL,67,38,80,257.00,"20,560.00"
83,2025012205023590,HIDCL,67,41,60,257.00,"15,420.00"
84,2025012205023575,HIDCL,67,21,139,257.00,"35,723.00"
85,2025012205023574,HIDCL,67,48,500,257.00,"128,500.00"
86,2025012205023701,HIDCL,58,28,200,257.80,"51,560.00"
87,2025012205023690,HIDCL,67,21,30,257.00,"7,710.00"
88,2025012205023686,HIDCL,58,28,390,257.80,"100,542.00"
89,2025012205023668,HIDCL,67,52,500,257.00,"128,500.00"
90,2025012205023647,HIDCL,91,28,250,257.80,"64,450.00"
91,2025012205023646,HIDCL,91,22,50,257.70,"12,885.00"
92,2025012205024056,HRL,14,44,150,876.00,"131,400.00"
93,2025012205024055,HRL,14,63,100,876.00,"87,600.00"
94,2025012205024054,HRL,14,53,10,876.00,"8,760.00"
95,2025012205024053,HRL,14,38,50,876.00,"43,800.00"
96,2025012205024052,HRL,14,63,300,876.00,"262,800.00"
97,2025012205024051,HRL,14,56,20,876.00,"17,520.00"
98,2025012205023692,HRL,28,22,50,874.90,"43,745.00"
99,2025012205023675,HRL,38,22,50,874.90,"43,745.00"
100,2025012205023667,HRL,39,34,20,874.50,"17,490.00"
101,2025012205023620,HRL,39,47,31,874.50,"27,109.50"
102,2025012205023603,HRL,39,56,10,874.50,"8,745.00"
103,2025012205023589,HRL,13,45,100,874.10,"87,410.00"
104,2025012205023717,HRL,49,21,31,875.00,"27,125.00"
105,2025012205023716,HRL,49,13,10,875.00,"8,750.00"
106,2025012205023715,HRL,49,16,115,875.00,"100,625.00"
107,2025012205023714,HRL,49,45,71,875.00,"62,125.00"
108,2025012205023694,HRL,28,45,41,875.00,"35,875.00"
109,2025012205023693,HRL,28,34,10,874.90,"8,749.00"
110,2025012205023765,HRL,50,49,250,874.60,"218,650.00"
111,2025012205023757,HRL,65,45,16,874.60,"13,993.60"
112,2025012205023721,HRL,49,51,10,875.00,"8,750.00"
113,2025012205023720,HRL,49,44,20,875.00,"17,500.00"
114,2025012205023719,HRL,49,7,20,875.00,"17,500.00"
115,2025012205023718,HRL,49,35,20,875.00,"17,500.00"
116,2025012205023776,HRL,50,47,10,874.60,"8,746.00"
117,2025012205023774,HRL,50,34,10,874.60,"8,746.00"
