Symbol,LTP,% Change,Open,High,Low,Qty.,PClose,Diff.
ACLBSL,"1,037.00",1.18,"1,040.00","1,019.00","1,020.00","5,468",,
ADBL,284.00,1.07,284.90,280.50,281.00,"36,936",,
ADBLD83,"1,100.00",1.85,"1,100.00","1,091.00","1,091.00",400,,
AHL,817.00,1.74,818.90,803.20,813.60,"12,336",,
AHPC,258.30,2.5,261.90,249.90,250.00,"131,570",,
AKJCL,199.50,2.57,202.00,195.00,197.00,"165,835",,
AKPL,239.00,2.18,240.20,232.00,232.00,"149,188",,
ALBSL,840.00,0.96,859.00,816.00,816.00,"7,489",,
ALICL,742.60,1.24,745.00,734.10,742.00,"25,554",,
ANLB,"4,998.00",1.69,"5,000.00","4,820.00","4,825.00",582,,
API,276.00,4.15,280.00,263.20,268.00,"280,865",,
AVYAN,"1,040.00",-0.48,"1,058.00","1,024.10","1,058.00","6,532",,
BARUN,446.00,2.76,450.00,427.00,427.00,"201,953",,
BBC,"5,832.00",2.66,"6,164.00","5,585.00","5,585.00","1,910",,
BEDC,753.50,1.82,788.00,736.20,740.00,"41,653",,
BFC,620.00,0.81,624.10,603.00,605.00,"51,080",,
BGWT,"1,067.90",1.17,"1,081.00","1,040.00","1,040.00","6,963",,
BHDC,720.00,1.41,729.00,706.00,712.00,"28,949",,
BHL,377.30,4.52,384.00,355.00,355.00,"28,677",,
BHPL,"1,040.00",-8.21,"1,245.00","1,019.70","1,110.40","43,088",,
BNHC,530.00,3.5,542.00,501.90,501.90,"48,591",,
BNT,"13,551.10",-0.75,"13,900.00","13,551.00","13,700.00",110,,
BOKD86,"1,030.00",0.49,"1,030.00","1,025.00","1,025.00",80,,
BOKD86KA,"1,115.30",-6.94,"1,174.60","1,115.30","1,174.60","4,738",,
BPCL,399.00,3.96,404.00,380.10,380.10,"35,610",,
C30MF,9.00,-1.1,9.00,8.95,8.95,400,,
CBBL,854.00,1.29,860.00,844.00,845.00,"9,165",,
CBLD88,"1,160.00",2,"1,118.10","1,118.10","1,118.10","2,055",,
