SN,Symbol,LTP,LTV,Point Change,% Change,Open Price,High Price,Low Price,Avg Traded Price,Volume,Previous Closing
1,KPCL,549.20,50,-4.80,-0.87,565.00,565.00,548.00,552.92,"20,979",554.00
2,SFCL,563.00,33,-17.00,-2.93,570.00,580.00,560.00,567.25,"49,720",580.00
3,TSHL,861.10,10,-1.90,-0.22,880.00,880.00,860.00,865.07,"1,352",863.00
4,RADHI,355.00,37,0.00,0.00,348.00,364.00,348.00,357.86,"54,773",355.00
5,CKHL,837.00,10,21.00,2.57,820.00,841.50,804.00,822.13,"23,454",816.00
6,MEL,358.50,10,1.40,0.39,364.00,364.00,356.50,359.96,"40,745",357.10
7,PHCL,576.00,10,-8.70,-1.49,596.30,596.30,568.40,576.47,"30,832",584.70
8,SMJC,575.20,10,3.20,0.56,583.00,583.00,571.00,575.57,"21,535",572.00
9,GUFL,598.00,50,-4.00,-0.66,608.40,608.40,595.00,601.97,"17,910",602.00
10,CGH,898.50,50,-7.50,-0.83,924.10,924.10,896.80,905.80,"8,300",906.00
11,MKJC,590.00,17,11.00,1.90,590.50,594.00,582.00,589.53,"34,655",579.00
12,SRLI,431.00,201,-1.00,-0.23,433.30,437.00,429.00,433.11,"36,544",432.00
13,HIDCL,255.00,300,-2.00,-0.78,257.00,264.90,253.00,257.79,"123,058",257.00
14,KKHC,373.00,88,-4.00,-1.06,382.00,382.00,372.40,375.18,"25,969",377.00
15,NIFRA,269.00,64,3.00,1.13,269.00,272.00,264.00,268.98,"221,470",266.00
16,GCIL,505.10,11,-4.00,-0.79,509.10,513.90,505.00,509.09,"20,555",509.10
17,RIDI,231.30,30,0.40,0.17,226.30,235.40,226.30,231.45,"44,516",230.90
18,MHCL,557.00,"4,400",7.00,1.27,560.00,560.00,548.50,554.87,"14,248",550.00
19,NGPL,286.00,28,18.00,6.72,270.00,290.60,270.00,281.20,"397,726",268.00
20,SNLI,653.00,12,11.00,1.71,640.00,658.00,638.70,648.11,"27,022",642.00
21,JFL,476.00,300,-33.00,-6.48,504.00,505.00,476.00,490.73,"102,003",509.00
22,NMFBS,"1,283.30",17,-15.70,-1.21,"1,321.00","1,321.00","1,281.00","1,291.95","1,929","1,299.00"
23,PRVU,222.10,"1,000",-2.20,-0.98,226.70,227.40,222.10,224.13,"63,368",224.30
24,PFL,385.00,45,-13.90,-3.48,398.90,405.00,380.00,390.72,"119,718",398.90
25,MKCL,"1,520.00",40,-40.00,-2.56,"1,560.00","1,560.00","1,520.00","1,535.29","3,283","1,560.00"
26,HLI,480.00,5,0.00,0.00,482.00,484.00,474.00,480.02,"32,729",480.00
27,RNLI,532.10,11,5.30,1.01,527.00,534.00,521.20,527.04,"28,170",526.80
28,CLI,737.90,10,27.40,3.86,710.00,744.90,703.30,727.06,"155,388",710.50
29,SMFBS,"1,957.00",40,4.10,0.21,"1,951.00","1,960.00","1,938.00","1,949.22","2,609","1,952.90"
30,SAHAS,486.50,162,-4.50,-0.92,491.60,492.90,485.10,488.98,"108,162",491.00
31,UPPER,203.50,190,-1.40,-0.68,205.00,206.90,203.00,204.63,"66,979",204.90
32,NICGF2,8.55,100,0.03,0.35,8.51,8.55,8.51,8.52,"1,300",8.52
33,GBBL,391.20,14,5.20,1.35,389.00,392.00,380.20,389.06,"16,107",386.00
34,HRL,865.00,10,-11.00,-1.26,880.00,881.00,856.10,867.63,"117,214",876.00
35,FMDBL,723.00,30,-2.00,-0.28,732.00,735.80,722.30,727.70,"1,830",725.00
36,NLIC,762.30,500,2.21,0.29,775.20,775.20,760.00,765.05,"34,912",760.09
37,NRN,"1,202.00",660,-5.80,-0.48,"1,231.90","1,231.90","1,193.00","1,210.71","111,421","1,207.80"
38,TPC,571.00,10,-1.50,-0.26,570.00,581.40,567.00,571.87,"24,835",572.50
39,CYCL,"1,545.90",10,2.80,0.18,"1,515.00","1,569.80","1,515.00","1,536.31","2,940","1,543.10"
40,MKHC,574.00,10,0.10,0.02,574.00,597.00,565.00,575.61,"31,436",573.90
41,SMB,"2,860.00",10,218.00,8.25,"2,642.00","2,906.00","2,632.10","2,759.81","9,343","2,642.00"
42,RHPL,453.00,291,3.50,0.78,450.00,456.00,445.00,452.73,"57,078",449.50
43,GFCL,728.10,94,1.10,0.15,727.00,740.00,715.50,731.46,"14,349",727.00
44,IHL,756.00,160,1.00,0.13,755.00,769.00,751.00,756.93,"21,104",755.00
45,SONA,477.10,575,-1.90,-0.40,475.00,483.00,473.00,477.29,"33,446",479.00
46,SMPDA,917.10,73,-10.30,-1.11,908.90,963.00,908.90,925.68,"3,307",927.40
47,RURU,740.00,25,5.00,0.68,749.00,749.00,735.00,739.28,"7,658",735.00
48,MNBBL,371.00,24,1.70,0.46,376.00,376.00,371.00,371.75,"12,400",369.30
49,NFS,765.00,200,-16.00,-2.05,766.00,790.00,765.00,776.60,"32,766",781.00
50,MFIL,636.50,90,-0.50,-0.08,644.80,648.90,635.00,637.29,"9,389",637.00
51,KSY,8.45,100,-0.13,-1.52,8.75,8.75,8.45,8.53,"1,800",8.58
52,NBL,252.00,20,-2.00,-0.79,259.00,259.00,252.00,253.63,"18,999",254.00
53,HATHY,"1,398.00",24,-5.20,-0.37,"1,400.10","1,427.80","1,385.10","1,401.51","20,942","1,403.20"
54,CORBL,"1,871.00",78,113.20,6.44,"1,792.90","1,924.00","1,775.00","1,870.06","31,961","1,757.80"
55,SINDU,"1,092.00",106,19.10,1.78,"1,072.50","1,119.00","1,072.50","1,101.68","87,215","1,072.90"
56,NYADI,601.00,10,-4.00,-0.66,592.90,609.00,592.90,603.19,"58,532",605.00
57,MBJC,359.50,10,2.00,0.56,355.20,362.30,353.00,359.11,"35,617",357.50
58,MHL,979.20,10,-108.80,-10.00,"1,066.30","1,066.30",979.20,980.28,"12,549","1,088.00"
59,SHIVM,555.00,500,-0.30,-0.05,556.10,560.00,550.50,555.39,"49,571",555.30
60,SMATA,843.00,10,-14.90,-1.74,845.00,860.00,838.20,844.24,916,857.90
61,KBL,200.10,431,-1.90,-0.94,198.00,205.00,198.00,202.19,"105,616",202.00
62,API,275.00,35,-1.00,-0.36,270.50,280.00,270.50,276.84,"120,387",276.00
63,ILI,490.30,12,-1.80,-0.37,492.00,499.00,483.20,491.99,"22,656",492.10
64,DDBL,781.00,25,-3.00,-0.38,785.00,790.00,780.00,783.49,"1,324",784.00
65,CFCL,527.00,500,-11.00,-2.04,527.30,548.00,525.00,530.01,"24,963",538.00
66,VLUCL,766.10,100,36.10,4.95,715.40,774.90,715.40,758.96,"97,379",730.00
67,SHLB,"2,570.00",10,61.90,2.47,"2,512.00","2,619.00","2,512.00","2,569.74","2,456","2,508.10"
68,SBL,282.30,24,-2.60,-0.91,285.00,290.00,279.30,282.11,"30,032",284.90
69,NIMB,212.30,39,0.70,0.33,214.00,214.90,211.20,212.79,"48,593",211.60
70,CZBIL,209.00,25,1.60,0.77,209.00,211.00,207.10,209.46,"38,820",207.40
71,H8020,9.97,100,-0.11,-1.09,9.88,10.05,9.88,10.05,"15,700",10.08
72,BHPL,"1,005.10",88,-34.90,-3.36,"1,040.00","1,040.00",998.90,"1,008.23","13,849","1,040.00"
73,GMFBS,"1,787.00",50,20.00,1.13,"1,760.00","1,790.00","1,760.00","1,781.78","2,037","1,767.00"
74,KMCDB,"1,059.00",10,-1.00,-0.09,"1,055.00","1,080.00","1,035.30","1,053.49","1,480","1,060.00"
75,AKJCL,199.50,100,0.00,0.00,203.40,203.40,199.20,200.56,"40,984",199.50
76,NRM,519.10,200,14.10,2.79,505.00,522.60,505.00,514.60,"111,708",505.00
77,MAKAR,695.00,500,21.10,3.13,673.90,695.00,673.90,685.32,"28,219",673.90
78,GLBSL,"2,390.00",171,30.00,1.27,"2,360.00","2,390.00","2,340.00","2,363.70","2,287","2,360.00"
79,UPCL,290.30,227,2.30,0.80,289.10,295.00,288.00,291.60,"91,353",288.00
80,ICFC,633.00,27,-7.00,-1.09,642.00,654.50,630.00,639.21,"14,802",640.00
81,DOLTI,886.00,10,-39.10,-4.23,906.60,"1,013.00",840.00,901.92,"91,967",925.10
82,HPPL,510.00,10,5.00,0.99,494.90,520.00,494.90,509.75,"120,058",505.00
83,HDHPC,200.00,90,1.00,0.50,200.90,202.50,199.30,201.28,"64,458",199.00
